ID,PRODUCT_ID_IN,PRODUCT_ID_OUT,WORKER_ID,BASKET_ID,WEIGHT_IN,WEIGHT_OUT,DATE,TIME_IN,TIME_OUT,DINH_MUC,TRANGTHAI
6805919,01,01,HVSC036,,5.063,3.457,2020-03-14,06:01:52,06:23:29,1.465,0
6805920,01,01,SC212,,5.066,3.390,2020-03-14,06:01:56,06:26:09,1.494,0
6805921,04,04,SC602,,3.056,2.168,2020-03-14,06:02:04,06:43:57,1.410,0
6805922,01,01,HVSC101,,5.045,3.381,2020-03-14,06:02:18,06:27:00,1.492,0
6805923,01,01,XKI_037,,5.065,3.482,2020-03-14,06:02:24,06:27:06,1.455,0
6805924,01,01,BK020,,5.066,3.381,2020-03-14,06:02:31,06:27:19,1.498,0
6805925,01,01,SC210,,5.053,3.314,2020-03-14,06:02:36,06:35:10,1.525,0
6805926,01,01,SC091,,5.042,3.446,2020-03-14,06:02:41,06:34:37,1.463,0
6805927,01,01,SC104,,5.074,3.374,2020-03-14,06:02:48,06:35:34,1.504,0
6805928,01,01,SC202,,5.009,3.475,2020-03-14,06:02:58,06:35:19,1.441,0
6805929,01,04,SC006,,5.057,2.165,2020-03-14,06:03:09,06:44:04,2.336,0
6805930,01,01,SC007,,5.068,3.481,2020-03-14,06:03:18,06:22:59,1.456,0
6805931,01,01,SC618,,5.045,3.383,2020-03-14,06:03:38,06:39:37,1.491,0
6805932,01,01,SC562,,5.047,3.384,2020-03-14,06:03:42,06:26:25,1.491,0
6805933,01,01,SC627,,5.028,3.300,2020-03-14,06:03:54,06:52:01,1.524,0
6805934,01,01,SC358,,5.069,3.447,2020-03-14,06:03:59,06:38:55,1.471,0
6805935,01,01,SC088,,5.056,3.400,2020-03-14,06:04:07,06:34:28,1.487,0
6805936,01,01,PV006,,5.048,3.395,2020-03-14,06:04:10,06:35:39,1.487,0
6805937,01,01,SC405,,5.067,3.411,2020-03-14,06:04:33,06:49:07,1.485,0
6805938,01,01,SC035,,5.023,3.400,2020-03-14,06:04:43,06:28:12,1.477,0
6805939,01,01,SC036,,5.068,3.384,2020-03-14,06:04:50,06:49:42,1.498,0
6805940,03,03,SC616,,3.048,2.132,2020-03-14,06:05:02,06:44:27,1.430,0
